date,1-min,Nodes,CPUs,Procs
2022/12/11-19:43:30,7.2686666667,38,355,15
2022/12/11-19:43:45,7.3226666667,38,355,15
2022/12/11-19:44:00,7.3166666667,38,355,17.266666667
2022/12/11-19:44:15,7.33,38,355,16.6
2022/12/11-19:44:30,7.33,38,355,15.133333333
2022/12/11-19:44:45,7.302,38,355,15
2022/12/11-19:45:00,7.2893333333,38,355,15
2022/12/11-19:45:15,7.38,38,355,15
2022/12/11-19:45:30,7.32,38,355,17.866666667
2022/12/11-19:45:45,7.2,38,355,25
2022/12/11-19:46:00,7.1633333333,38,355,25
2022/12/11-19:46:15,7.04,38,355,25.8
2022/12/11-19:46:30,6.9913333333,38,355,26
2022/12/11-19:46:45,7.0413333333,38,355,26.8
2022/12/11-19:47:00,6.9766666667,38,355,21.6
2022/12/11-19:47:15,6.89,38,355,15
2022/12/11-19:47:30,6.89,38,355,14.2
2022/12/11-19:47:45,6.8846666667,38,355,14.8
2022/12/11-19:48:00,6.9633333333,38,355,15
2022/12/11-19:48:15,7.0106666667,38,355,15.6
2022/12/11-19:48:30,6.9593333333,38,355,19
2022/12/11-19:48:45,7.04,38,355,21.2
2022/12/11-19:49:00,7.04,38,355,21.266666667
2022/12/11-19:49:15,7.1573333333,38,355,21
2022/12/11-19:49:30,7.4613333333,38,355,21.8
2022/12/11-19:49:45,7.3846666667,38,355,23.066666667
2022/12/11-19:50:00,7.312,38,355,26.4
2022/12/11-19:50:15,7.18,38,355,25.4
2022/12/11-19:50:30,7.18,38,355,25.333333333
2022/12/11-19:50:45,7.1133333333,38,355,25.2
2022/12/11-19:51:00,6.9766666667,38,355,23.4
2022/12/11-19:51:15,6.9913333333,38,355,15
2022/12/11-19:51:30,7.0513333333,38,355,14.8
2022/12/11-19:51:45,7,38,355,14.733333333
2022/12/11-19:52:00,7,38,355,14
2022/12/11-19:52:15,6.8993333333,38,355,13.6
2022/12/11-19:52:30,6.636,38,355,12
2022/12/11-19:52:45,6.622,38,355,13.466666667
2022/12/11-19:53:00,6.688,38,355,14.733333333
2022/12/11-19:53:15,6.76,38,355,15
2022/12/11-19:53:30,6.76,38,355,15.733333333
2022/12/11-19:53:45,6.742,38,355,17.333333333
2022/12/11-19:54:00,6.9,38,355,21
2022/12/11-19:54:15,6.972,38,355,18.066666667
2022/12/11-19:54:30,6.9533333333,38,355,17.733333333
2022/12/11-19:54:45,6.88,38,355,18
2022/12/11-19:55:00,6.88,38,355,17
2022/12/11-19:55:15,6.9246666667,38,355,13
2022/12/11-19:55:30,6.8626666667,38,355,13
2022/12/11-19:55:45,6.8473333333,38,355,13.666666667
2022/12/11-19:56:00,6.76,38,355,15.2
2022/12/11-19:56:15,6.63,38,355,17.266666667
2022/12/11-19:56:30,6.63,38,355,22
2022/12/11-19:56:45,6.7286666667,38,355,22.6
2022/12/11-19:57:00,6.704,38,355,22.4
2022/12/11-19:57:15,6.814,38,355,22
2022/12/11-19:57:30,6.8113333333,38,355,21.133333333
2022/12/11-19:57:45,6.83,38,355,17.6
2022/12/11-19:58:00,6.83,38,355,18
2022/12/11-19:58:15,6.8366666667,38,355,17.4
2022/12/11-19:58:30,6.7373333333,38,355,17
2022/12/11-19:58:45,6.5986666667,38,355,18.2
2022/12/11-19:59:00,6.7026666667,38,355,17.4
2022/12/11-19:59:15,6.59,38,355,18.333333333
2022/12/11-19:59:30,6.59,38,355,18
2022/12/11-19:59:45,6.59,38,355,18
2022/12/11-20:00:00,6.5906666667,38,355,16.8
2022/12/11-20:00:15,6.55,38,355,15.133333333
2022/12/11-20:00:30,6.5153333333,38,355,14.666666667
2022/12/11-20:00:45,6.55,38,355,15.666666667
2022/12/11-20:01:00,6.5366666667,38,355,16.133333333
2022/12/11-20:01:15,6.4926666667,38,355,17
2022/12/11-20:01:30,6.778,38,355,17
2022/12/11-20:01:45,6.7613333333,38,355,17
2022/12/11-20:02:00,6.7806666667,38,355,18.8
2022/12/11-20:02:15,6.85,38,355,19.933333333
2022/12/11-20:02:30,6.8513333333,38,355,19
2022/12/11-20:02:45,6.9166666667,38,355,18.4
2022/12/11-20:03:00,6.8373333333,38,355,17.6
2022/12/11-20:03:15,6.7953333333,38,355,9
2022/12/11-20:03:30,6.45,38,355,7.6
2022/12/11-20:03:45,6.45,38,355,8
2022/12/11-20:04:00,6.4406666667,38,355,8
2022/12/11-20:04:15,6.3253333333,38,355,8.6666666667
2022/12/11-20:04:30,6.05,38,355,13
2022/12/11-20:04:45,5.8646666667,38,355,14.8
2022/12/11-20:05:00,5.8153333333,38,355,16
2022/12/11-20:05:15,5.72,38,355,16
2022/12/11-20:05:30,5.7186666667,38,355,15.733333333
2022/12/11-20:05:45,5.6466666667,38,355,12
2022/12/11-20:06:00,5.6573333333,38,355,11.466666667
2022/12/11-20:06:15,5.74,38,355,10.533333333
2022/12/11-20:06:30,5.66,38,355,10
2022/12/11-20:06:45,5.66,38,355,11.533333333
2022/12/11-20:07:00,5.716,38,355,11
2022/12/11-20:07:15,5.7426666667,38,355,11
2022/12/11-20:07:30,5.6906666667,38,355,10.533333333
2022/12/11-20:07:45,5.6566666667,38,355,10.466666667
2022/12/11-20:08:00,5.63,38,355,12.2
2022/12/11-20:08:15,5.6766666667,38,355,12.6
2022/12/11-20:08:30,5.656,38,355,13.866666667
2022/12/11-20:08:45,5.676,38,355,13.6
2022/12/11-20:09:00,5.692,38,355,13
2022/12/11-20:09:15,5.694,38,355,11.8
2022/12/11-20:09:30,5.73,38,355,10
2022/12/11-20:09:45,5.73,38,355,10
2022/12/11-20:10:00,5.73,38,355,10
2022/12/11-20:10:15,5.6933333333,38,355,10
2022/12/11-20:10:30,5.8213333333,38,355,10.4
2022/12/11-20:10:45,5.8713333333,38,355,11
2022/12/11-20:11:00,5.87,38,355,11
2022/12/11-20:11:15,6,38,355,8.4
2022/12/11-20:11:30,6.02,38,355,9.2
2022/12/11-20:11:45,5.9933333333,38,355,11
2022/12/11-20:12:00,6.1286666667,38,355,10.533333333
2022/12/11-20:12:15,6.086,38,355,11
2022/12/11-20:12:30,5.9306666667,38,355,15.666666667
2022/12/11-20:12:45,5.92,38,355,15.2
