date,1-min,Nodes,CPUs,Procs
2022/12/11-19:44:45,3.1793333333,8,65,7
2022/12/11-19:45:00,3.31,8,65,7
2022/12/11-19:45:15,3.298,8,65,7.7333333333
2022/12/11-19:45:30,3.13,8,65,18
2022/12/11-19:45:45,3.13,8,65,18
2022/12/11-19:46:00,3.02,8,65,18
2022/12/11-19:46:15,2.87,8,65,18
2022/12/11-19:46:30,2.8793333333,8,65,18
2022/12/11-19:46:45,2.83,8,65,18
2022/12/11-19:47:00,2.7086666667,8,65,9.6
2022/12/11-19:47:15,2.7,8,65,9
2022/12/11-19:47:30,2.6986666667,8,65,9
2022/12/11-19:47:45,2.6853333333,8,65,9
2022/12/11-19:48:00,2.7526666667,8,65,9.3333333333
2022/12/11-19:48:15,2.6646666667,8,65,14
2022/12/11-19:48:30,2.76,8,65,14
2022/12/11-19:48:45,2.76,8,65,14
2022/12/11-19:49:00,2.8186666667,8,65,14
2022/12/11-19:49:15,3.192,8,65,14
2022/12/11-19:49:30,3.1573333333,8,65,14.133333333
2022/12/11-19:49:45,3.116,8,65,15
2022/12/11-19:50:00,2.96,8,65,15
2022/12/11-19:50:15,2.96,8,65,15.133333333
2022/12/11-19:50:30,2.9333333333,8,65,16
2022/12/11-19:50:45,2.7586666667,8,65,15.2
2022/12/11-19:51:00,2.7573333333,8,65,10
2022/12/11-19:51:15,2.8553333333,8,65,10
2022/12/11-19:51:30,2.79,8,65,9.8666666667
2022/12/11-19:51:45,2.79,8,65,9
2022/12/11-19:52:00,2.772,8,65,8.8666666667
2022/12/11-19:52:15,2.5186666667,8,65,7
2022/12/11-19:52:30,2.504,8,65,7
2022/12/11-19:52:45,2.566,8,65,7
2022/12/11-19:53:00,2.65,8,65,7
2022/12/11-19:53:15,2.65,8,65,7
2022/12/11-19:53:30,2.674,8,65,7.6666666667
2022/12/11-19:53:45,2.8366666667,8,65,12
2022/12/11-19:54:00,2.88,8,65,12
2022/12/11-19:54:15,2.8733333333,8,65,12
2022/12/11-19:54:30,2.78,8,65,12
2022/12/11-19:54:45,2.78,8,65,11.333333333
2022/12/11-19:55:00,2.7706666667,8,65,7
2022/12/11-19:55:15,2.712,8,65,7
2022/12/11-19:55:30,2.7306666667,8,65,7
2022/12/11-19:55:45,2.66,8,65,7
2022/12/11-19:56:00,2.52,8,65,7.3333333333
2022/12/11-19:56:15,2.52,8,65,12
2022/12/11-19:56:30,2.5093333333,8,65,12
2022/12/11-19:56:45,2.424,8,65,12
2022/12/11-19:57:00,2.424,8,65,12
2022/12/11-19:57:15,2.4813333333,8,65,11.733333333
2022/12/11-19:57:30,2.5,8,65,8
2022/12/11-19:57:45,2.5,8,65,8
2022/12/11-19:58:00,2.5066666667,8,65,8
2022/12/11-19:58:15,2.5393333333,8,65,8
2022/12/11-19:58:30,2.4793333333,8,65,8
2022/12/11-19:58:45,2.6013333333,8,65,8.2
2022/12/11-19:59:00,2.48,8,65,11
2022/12/11-19:59:15,2.48,8,65,11
2022/12/11-19:59:30,2.48,8,65,11
2022/12/11-19:59:45,2.4586666667,8,65,11
2022/12/11-20:00:00,2.4586666667,8,65,11
2022/12/11-20:00:15,2.39,8,65,10
2022/12/11-20:00:30,2.43,8,65,10
2022/12/11-20:00:45,2.43,8,65,10
2022/12/11-20:01:00,2.33,8,65,11
2022/12/11-20:01:15,2.6286666667,8,65,11
2022/12/11-20:01:30,2.622,8,65,11
2022/12/11-20:01:45,2.6286666667,8,65,11
2022/12/11-20:02:00,2.6993333333,8,65,11
2022/12/11-20:02:15,2.71,8,65,10.133333333
2022/12/11-20:02:30,2.7273333333,8,65,10
2022/12/11-20:02:45,2.858,8,65,10
2022/12/11-20:03:00,3.0373333333,8,65,4.8
2022/12/11-20:03:15,2.7146666667,8,65,4
2022/12/11-20:03:30,2.69,8,65,4
2022/12/11-20:03:45,2.69,8,65,4
2022/12/11-20:04:00,2.6246666667,8,65,4
2022/12/11-20:04:15,2.6573333333,8,65,8.6666666667
2022/12/11-20:04:30,2.66,8,65,9
2022/12/11-20:04:45,2.6226666667,8,65,9
2022/12/11-20:05:00,2.5173333333,8,65,9
2022/12/11-20:05:15,2.51,8,65,9
2022/12/11-20:05:30,2.4913333333,8,65,5.2666666667
2022/12/11-20:05:45,2.5766666667,8,65,5
2022/12/11-20:06:00,2.694,8,65,5
2022/12/11-20:06:15,2.6353333333,8,65,5
2022/12/11-20:06:30,2.63,8,65,5.9333333333
2022/12/11-20:06:45,2.63,8,65,5.0666666667
2022/12/11-20:07:00,2.742,8,65,5
2022/12/11-20:07:15,2.53,8,65,5
2022/12/11-20:07:30,2.53,8,65,5
2022/12/11-20:07:45,2.4833333333,8,65,5
2022/12/11-20:08:00,2.53,8,65,4
2022/12/11-20:08:15,2.53,8,65,5.8666666667
2022/12/11-20:08:30,2.474,8,65,6
2022/12/11-20:08:45,2.414,8,65,6
2022/12/11-20:09:00,2.3926666667,8,65,6.8666666667
2022/12/11-20:09:15,2.446,8,65,7
2022/12/11-20:09:30,2.45,8,65,7
2022/12/11-20:09:45,2.45,8,65,7
